	опыт работы	возраст	образование	язык	желаемая з/п	Последнее место работы	пол_Мужчина	волонтерство	полная	проектная	стажировка	частичная	регион_Москва	регион_Санкт-Петербург
304	4.0	45.0	0	0	70000.0	1.0	1	0	1	1	1	1	0	1
305	10.0	29.0	0	0	130000.0	1.0	1	0	1	0	0	1	0	1
306	20.0	47.0	1	0	45000.0	1.0	1	0	1	0	0	0	0	0
307	13.0	36.0	1	0	220000.0	1.0	1	0	1	1	0	1	0	0
308	6.0	33.0	1	0	25000.0	0.0	1	0	1	0	0	0	0	0
309	7.0	30.0	1	0	30000.0	1.0	1	0	0	0	0	1	1	0
310	33.0		1	0	300000.0	1.0	1	0	1	0	0	0	1	0
311	38.0	60.0	1	0	60000.0	1.0	1	0	1	0	0	0	0	0
312	16.0	39.0	1	1	50000.0	1.0	0	0	1	0	0	0	0	0
313	16.0	41.0	1	0	60000.0	0.0	1	0	1	0	0	0	0	0
314	6.0	38.0	1	0	20000.0	1.0	0	0	1	0	0	0	0	0
315	11.0	30.0	1	0	180000.0	1.0	1	0	1	0	0	0	1	0
316	5.0	29.0	0	1	85000.0	1.0	1	0	1	1	0	1	0	0
317	32.0	55.0	1	0	75000.0	1.0	0	0	1	0	0	0	0	0
318	4.0	39.0	1	0	160000.0	0.0	1	0	1	0	0	0	0	0
319	13.0	32.0	0	0	10000.0	1.0	1	0	1	0	0	0	0	0
320	11.0	33.0	1	0	220000.0	0.0	1	0	1	0	0	1	1	0
321	9.0		1	0	46000.0	1.0	1	0	1	0	0	0	0	0
322	10.0	38.0	1	0	100000.0	1.0	1	0	1	0	0	0	0	0
323	23.0	59.0	1	0	100000.0	1.0	1	0	1	0	0	0	0	0
324	20.0	45.0	1	0	230000.0	1.0	1	0	1	0	0	1	0	0
325	2.0	23.0	0	0	150000.0	1.0	0	0	1	0	0	0	1	0
326	9.0	30.0	0	0	90000.0	1.0	1	0	1	0	0	0	0	0
327	7.0	24.0	0	1	10000.0	1.0	1	0	0	1	0	1	0	1
328	1.0	21.0	0	0	50000.0	0.0	1	0	1	0	0	0	0	0
329	15.0	57.0	0	0	30000.0	1.0	1	0	1	1	1	1	0	0
330	2.0	37.0	0	0	20000.0	0.0	1	0	1	0	0	0	1	0
331	18.0	41.0	1	0	150000.0	1.0	1	0	1	1	0	1	0	0
332	2.0	29.0	0	0	250000.0	1.0	1	0	1	0	0	0	1	0
333	7.0	30.0	0	1	45000.0	1.0	1	0	1	0	0	0	1	0
334	19.0	37.0	0	0	20000.0	1.0	1	0	1	0	0	0	0	0
335	2.0	24.0	0	0	170000.0	1.0	1	0	1	0	0	0	0	0
336	31.0	61.0	1	1	50000.0	1.0	1	0	1	0	0	0	0	0
337	18.0	38.0	0	0	80000.0	1.0	1	0	1	1	0	0	0	0
338	2.0	26.0	0	0	100000.0	1.0	1	0	1	1	0	1	1	0
339	4.0	23.0	0	0	30000.0	1.0	1	0	1	0	0	0	0	0
340	21.0	40.0	1	0	120000.0	1.0	1	0	1	1	0	1	0	0
341	17.0	47.0	1	1	110000.0	1.0	1	0	1	1	0	1	0	1
342	4.0	24.0	0	0	60000.0	1.0	1	0	1	0	0	0	1	0
343	32.0		1	0	45815.0	1.0	1	0	1	0	0	1	0	0
344	1.0	26.0	1	0	40000.0	0.0	1	0	1	0	1	1	1	0
345	1.0	34.0	1	0	25000.0	0.0	1	0	1	0	0	0	0	0
346	7.0	28.0	0	0	160000.0	1.0	1	0	1	0	0	0	0	0
